,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308,cluster_label,graduated
1032,0.0,2.0,2.0,1.0,0.0,2.0,-2.0,0.0,-2.0,-2.0,-2.0,2.0,1.7000000000000002,2.0,0.7000000000000002,0.7000000000000002,0.0,1.0,0,0
1033,2.0,-0.30000000000000004,2.0,2.0,1.0,1.0,1.7000000000000002,0.0,0.7000000000000002,-2.0,-2.0,-2.0,1.7000000000000002,0.2999999999999998,0.7000000000000002,0.0,0.2999999999999998,-2.0,0,0
1034,2.0,2.0,1.0,-2.0,0.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
1035,0.0,0.0,1.0,-2.0,1.0,1.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-0.30000000000000004,0.0,1.0,0.0,0.2999999999999998,0,1
1036,0.0,-2.0,2.0,1.2999999999999998,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1037,-2.0,-2.0,-2.0,0.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1038,0.0,0.0,0.0,2.0,0.0,0.0,1.7000000000000002,0.0,-2.0,-2.0,-2.0,0.7000000000000002,1.2999999999999998,1.0,0.2999999999999998,1.7000000000000002,0.0,0.0,0,1
1039,-0.7,0.0,0.0,2.0,-0.7,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998,0,0
1040,0.0,1.2999999999999998,0.7000000000000002,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,1.0,-2.0,0.7000000000000002,0,1
1041,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1042,0.0,-0.7,0.0,1.7000000000000002,-0.30000000000000004,1.0,1.7000000000000002,1.2999999999999998,-2.0,-2.0,-2.0,-0.30000000000000004,1.2999999999999998,-2.0,1.0,1.2999999999999998,-0.30000000000000004,0.2999999999999998,0,0
1043,0.0,0.0,0.0,-0.30000000000000004,1.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,-1.0,0.7000000000000002,1.0,0.2999999999999998,0.2999999999999998,0,1
